Commune,res.princ.2000,res.sec.2000,pop.2000,%res.sec.2000,res.sec/pop.2000,res.princ.1990,res.sec.1990,pop.1990,%res.sec.1990,res.sec/pop.1990
5651 Villars-Sainte-Croix,170,40,565,0.19047619,0.07079646,175,7,497,0.038461538,0.014084507
5652 Villars-sous-Yens,199,12,546,0.056872038,0.021978022,113,3,283,0.025862069,0.010600707
5653 Vufflens-le-Château,223,25,613,0.100806452,0.040783034,192,8,530,0.04,0.01509434
5654 Vullierens,158,9,420,0.053892216,0.021428571,143,8,383,0.052980132,0.020887728
5655 Yens,368,40,937,0.098039216,0.042689434,339,23,884,0.063535912,0.0260181
5661 Boulens,74,11,220,0.129411765,0.05,67,2,185,0.028985507,0.010810811
5662 Brenles,51,8,157,0.13559322,0.050955414,52,5,144,0.087719298,0.034722222
5663 Bussy-sur-Moudon,72,5,180,0.064935065,0.027777778,70,5,195,0.066666667,0.025641026
5664 Chapelle-sur-Moudon,110,18,311,0.140625,0.057877814,106,15,288,0.123966942,0.052083333
5665 Chavannes-sur-Moudon,75,10,209,0.117647059,0.04784689,76,10,200,0.11627907,0.05
5666 Chesalles-sur-Moudon,53,7,167,0.116666667,0.041916168,46,6,141,0.115384615,0.042553191
5667 Correvon,34,8,107,0.19047619,0.074766355,35,2,104,0.054054054,0.019230769
5668 Cremin,17,9,55,0.346153846,0.163636364,17,4,51,0.19047619,0.078431373
5669 Curtilles,106,16,300,0.131147541,0.053333333,102,7,259,0.064220183,0.027027027
5670 Denezy,56,16,130,0.222222222,0.123076923,52,7,140,0.118644068,0.05
5671 Dompierre (VD),90,9,255,0.090909091,0.035294118,82,11,232,0.11827957,0.047413793
5672 Forel-sur-Lucens,46,3,149,0.06122449,0.020134228,42,5,133,0.106382979,0.037593985
5673 Hermenches,104,11,280,0.095652174,0.039285714,93,4,299,0.041237113,0.013377926
5674 Lovatens,58,3,142,0.049180328,0.021126761,52,4,124,0.071428571,0.032258065
5675 Lucens,886,192,2066,0.178107607,0.092933204,931,82,2091,0.08094768,0.039215686
5676 Martherenges,21,3,66,0.125,0.045454545,19,1,56,0.05,0.017857143
5677 Montaubion-Chardonney,30,3,77,0.090909091,0.038961039,28,4,78,0.125,0.051282051
5678 Moudon,1676,324,4318,0.162,0.075034738,1709,97,4193,0.053709856,0.023133794
5679 Neyruz-sur-Moudon,46,7,126,0.132075472,0.055555556,37,5,116,0.119047619,0.043103448
5680 Ogens,81,12,231,0.129032258,0.051948052,79,18,201,0.18556701,0.089552239
5681 Oulens-sur-Lucens,18,2,56,0.1,0.035714286,20,2,53,0.090909091,0.037735849
5682 Peyres-Possens,42,9,116,0.176470588,0.077586207,43,1,123,0.022727273,0.008130081
5683 Prévonloup,51,5,127,0.089285714,0.039370079,46,6,122,0.115384615,0.049180328
5684 Rossenges,18,1,51,0.052631579,0.019607843,18,1,47,0.052631579,0.021276596
5685 Saint-Cierges,155,19,413,0.109195402,0.046004843,141,12,383,0.078431373,0.031331593
5686 Sarzens,26,4,64,0.133333333,0.0625,23,5,60,0.178571429,0.083333333
5687 Sottens,80,12,213,0.130434783,0.056338028,77,1,216,0.012820513,0.00462963
5688 Syens,52,7,128,0.118644068,0.0546875,46,3,111,0.06122449,0.027027027
5689 Thierrens,210,37,578,0.149797571,0.064013841,179,36,483,0.16744186,0.074534161
5690 Villars-le-Comte,49,9,123,0.155172414,0.073170732,48,5,131,0.094339623,0.038167939
5691 Villars-Mendraz,66,9,184,0.12,0.048913043,55,4,150,0.06779661,0.026666667
5692 Vucherens,181,18,428,0.090452261,0.042056075,158,23,431,0.127071823,0.053364269
5701 Arnex-sur-Nyon,40,8,122,0.166666667,0.06557377,35,5,116,0.125,0.043103448
5702 Arzier,629,231,1804,0.268604651,0.12804878,569,198,1413,0.258148631,0.140127389
5703 Bassins,314,71,786,0.184415584,0.090330789,288,70,732,0.195530726,0.095628415
5704 Begnins,539,156,1307,0.224460432,0.119357307,503,41,1197,0.075367647,0.034252297
5705 Bogis-Bossey,248,47,854,0.159322034,0.055035129,238,30,729,0.111940299,0.041152263
5706 Borex,293,34,882,0.103975535,0.038548753,267,16,783,0.056537102,0.020434227
